prices,market_caps,total_volumes,id_coin,date
6736.036,116073397012.0424,5280060347.564506,bitcoin,2018-08-26
6728.288,115406552890.99017,5215045899.16829,bitcoin,2018-08-27
6911.096,118546009735.9248,5444349729.346103,bitcoin,2018-08-28
7075.983,121992306938.18849,6246602891.545194,bitcoin,2018-08-29
7046.749,121479639297.29665,5976493148.705724,bitcoin,2018-08-30
7024.145,121103237785.70247,6587864491.268964,bitcoin,2018-08-31
7027.631,121186316787.30235,5959884320.762271,bitcoin,2018-09-01
7211.271,124380655386.09407,6257915213.839819,bitcoin,2018-09-02
7305.273,125994361368.72597,6640164154.549976,bitcoin,2018-09-03
7260.898,125200923805.39091,4511643009.568316,bitcoin,2018-09-04
7359.463,126949626755.787,5344233220.454348,bitcoin,2018-09-05
6764.927,116602093876.15263,7036065651.078336,bitcoin,2018-09-06
6498.28,112034863191.16696,6558109770.577363,bitcoin,2018-09-07
6397.819,110396118506.89438,4422971841.981781,bitcoin,2018-09-08
6181.194,106668555553.51491,3851077568.004001,bitcoin,2018-09-09
6260.765,108219061918.52274,4174629547.594032,bitcoin,2018-09-10
6308.135,108846231385.41852,4504626593.565221,bitcoin,2018-09-11
6278.917,108449181464.89592,5001529025.0324745,bitcoin,2018-09-12
6330.574,109298582014.21779,5026516732.831187,bitcoin,2018-09-13
6486.462,112124461661.13242,4987196751.843109,bitcoin,2018-09-14
6500.012,112334356298.05247,5350596522.1363,bitcoin,2018-09-15
6530.221,112796085614.54744,4295951323.506035,bitcoin,2018-09-16
6506.248,112373562206.64603,4715407407.2624035,bitcoin,2018-09-17
6250.122,107960190646.44861,4600931272.400568,bitcoin,2018-09-18
6347.069,109629673484.58704,4472798160.224327,bitcoin,2018-09-19
6383.754,110292032124.89343,5380977505.120019,bitcoin,2018-09-20
6491.885,112172960507.04015,5059042419.562756,bitcoin,2018-09-21
6753.834,116710823191.41154,5931455399.756281,bitcoin,2018-09-22
6747.032,116607568773.97198,5159534298.571353,bitcoin,2018-09-23
6711.029,116001860055.71248,4322794079.140574,bitcoin,2018-09-24
6596.187,114024650850.04753,4626497701.607775,bitcoin,2018-09-25
6441.312,111360852966.35107,4580781824.213022,bitcoin,2018-09-26
6462.796,111760801180.65999,3788299697.410916,bitcoin,2018-09-27
6704.704,115905890382.87775,4690261094.515134,bitcoin,2018-09-28
6634.766,114768551691.0015,3140320712.2600975,bitcoin,2018-09-29
6606.074,114265552573.72394,2294291064.4914503,bitcoin,2018-09-30
6626.038,114617564007.79602,1908960742.721659,bitcoin,2018-10-01
6598.841,114225251470.51224,1893760872.9018476,bitcoin,2018-10-02
6524.608,112814709079.4464,2035903501.1612606,bitcoin,2018-10-03
6499.262,112545036630.82414,2247969611.1974277,bitcoin,2018-10-04
6578.702,113846158429.54834,2059404665.1894457,bitcoin,2018-10-05
6621.189,114567814410.76247,1840911129.5584166,bitcoin,2018-10-06
6589.125,114021329402.35275,1464404365.51708,bitcoin,2018-10-07
6584.832,113962679824.78195,1499424737.458561,bitcoin,2018-10-08
6653.089,115167647222.33853,2081626437.4631693,bitcoin,2018-10-09
6633.746,114837789505.01476,1741398466.9025888,bitcoin,2018-10-10
6582.455,113987017102.36557,2070407901.7011054,bitcoin,2018-10-11
6234.368,108155761830.83029,3581191342.767335,bitcoin,2018-10-12
6285.593,108845285496.56729,2295615181.287238,bitcoin,2018-10-13
6314.883,109372673141.74013,1851879464.8516304,bitcoin,2018-10-14
6328.555,109624316973.41199,1847113723.7353718,bitcoin,2018-10-15
6659.876,115236573309.55287,6217858944.018429,bitcoin,2018-10-16
6635.126,114960968517.5375,2746546151.2501135,bitcoin,2018-10-17
6635.742,114953321633.49261,2820354466.330306,bitcoin,2018-10-18
6517.511,112970698851.37468,2625598930.5728407,bitcoin,2018-10-19
6483.828,112394945004.92676,2652532021.929972,bitcoin,2018-10-20
6532.679,113214078424.96126,2387105749.143392,bitcoin,2018-10-21
6529.67,113208108538.70485,2127987152.5866547,bitcoin,2018-10-22
6512.589,112905904007.05743,2655159954.716826,bitcoin,2018-10-23
6472.8,112227883463.22098,2784381146.568883,bitcoin,2018-10-24
6481.444,112363064964.16649,2607022301.561287,bitcoin,2018-10-25
6458.192,112010056845.21841,2618534041.346836,bitcoin,2018-10-26
6468.826,112200801079.02803,2698016930.8820057,bitcoin,2018-10-27
6457.059,111998326691.92026,2383295890.5582404,bitcoin,2018-10-28
6481.323,112422008134.01062,2065446088.788402,bitcoin,2018-10-29
6292.648,109167179052.3813,3631795693.013341,bitcoin,2018-10-30
6331.782,109890575608.10541,1962209613.9889975,bitcoin,2018-10-31
6366.72,110487418903.24472,2042670545.032488,bitcoin,2018-11-01
6379.973,110896563654.92197,2922702484.006447,bitcoin,2018-11-02
6425.442,111528929052.5205,2675454291.399585,bitcoin,2018-11-03
6388.19,110888814023.684,2582446886.6230755,bitcoin,2018-11-04
6351.062,110241536216.1873,3198297931.7470818,bitcoin,2018-11-05
6415.443,111383003826.06792,3213571991.0860043,bitcoin,2018-11-06
6474.847,112347500910.42685,3408876943.8566713,bitcoin,2018-11-07
6574.801,113943582818.14384,3120683820.785003,bitcoin,2018-11-08
6490.455,112723294658.02623,2402484611.4646854,bitcoin,2018-11-09
6413.782,111440702127.79549,2707057000.4786224,bitcoin,2018-11-10
6429.899,111308110603.00995,1672332107.6089764,bitcoin,2018-11-11
6434.285,111773252086.90735,2943678893.5684266,bitcoin,2018-11-12
6411.353,111385885801.71518,2651674690.982871,bitcoin,2018-11-13
6394.289,111126759494.65367,2890964719.217386,bitcoin,2018-11-14
